Question,Answer
can you write a curried function in JavaScript?,"Here's a curried function:

```
const add = a => b => a + b;
console.log(add(2)(3)); // 5
```"
can you write a curried function in Python?,"Here's a curried function:

```
def add(a):
    def inner(b):
        return a + b
    return inner

print(add(2)(3))  # 5
```"
can you write a closure in JavaScript?,"Here's a closure:

```
function outer() {
    let count = 0;
    return function() {
        count += 1;
        return count;
    };
}
const counter = outer();
console.log(counter()); // 1
console.log(counter()); // 2
```"
can you write a closure in Python?,"Here's a closure:

```
def outer():
    count = 0
    def inner():
        nonlocal count
        count += 1
        return count
    return inner

counter = outer()
print(counter())  # 1
print(counter())  # 2
```"
can you write a hash table in Python?,"Here's a hash table:

```
class HashTable:
    def __init__(self, size=10):
        self.size = size
        self.table = [[] for _ in range(size)]

    def hash(self, key):
        return hash(key) % self.size

    def set(self, key, value):
        h = self.hash(key)
        for i, (k, v) in enumerate(self.table[h]:
            if k == key:
                self.table[h][i] = (key, value)
                return
        self.table[h].append((key, value))

    def get(self, key):
        h = self.hash(key)
        for k, v in self.table[h]:
            if k == key:
                return v
        return None
```"
can you write Dijkstra's algorithm in Python?,"Here's Dijkstra's algorithm:

```
import heapq

def diijkstra(graph, start):
    distances = {node: float('infinity') for node in graph}
    distances[start] = 0
    heap = [(0, start)]
    while heap:
        current_dist, current_node = heapq.heappop(heap)
        if current_dist > distances[current_node]:
            continue
        for neighbor, weight in graph[current_node].items():
            distance = current_dist + weight
            if distance < distances[neighbor]:
                distances[neighbor] = distance
                heapq.heappush(heap, (distance, neighbor))
    return distances
```"
What is a computer?,A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.
The thing you're using to talk to me is a computer.,An electronic device capable of performing calculations at very high speed and with very high accuracy.
What is a super computer?,Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.
"A supercomputer is a computer which operates at several orders of magnitude greater speed and capacity than everyday general purpose computers, like the one you are talking to me on.","You know, the big iron!"
Who invented computers?,It's a bit ambiguous but British scientist Charles Babbage is regarded as the father of computers.
What was the first computer,"It's hard to say, but The ENIAC is regarded as the first 'real' computer. It was developed at University of Pennsylvania in 1946."
What is a microprocessor?,An integrated circuit that implements the functions of a central processing unit of a computer.
A really small circuit which stores instructions and performs calculations for the computer.,"The heart of the computer, to put it simply."
"The brain of a computer, to put it simply.","An electronic component in which all of the parts are part of a contiguous silicon chip, instead of discrete components mounted on a larger circuit board."
What is an operating system?,"Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS."
"Windows, MacOS, Linux, UNIX... all of them are types of OSes.",Android and iOS are operating systems for mobile devices.
Which is better Windows or macOS?,It depends on which machine you're using to talk to me!
I'd prefer to not hurt your feelings.,"Linux, always Linux!"
Name a computer company,Do you mean hardware or software?
Who uses super computers?,Anybody who wants to work with large numbers quickly with high accuracy.
"Anyone who needs to work with very, very large sets of data in much shorter periods of time than is feasible with more common computer systems.",Supercomputers are generally used by scientists and researchers.
I bet the MET department uses them.,You can definitely find few of them at NASA.
How does a computer work?,Computers are very dumb.  They only execute instructions given by humans.
Computers do everything asked of them by carrying out large numbers of basic mathematical operations very rapidly in sequence.,Computers perform very large number of calculations to get the result.
"Good morning, how are you?","I am doing well, how about you?"
I'm also good.,That's good to hear.
Hello,Hi
How are you doing?,I am doing well.
That is good to hear,Yes it is.
Can I help you with anything?,"Yes, I have a question."
What is your question?,Could I borrow a cup of sugar?
"I'm sorry, but I don't have any.",Thank you anyway
How are you doing?,"I am doing well, how about you?"
I am also good.,That's good.
Have you heard the news?,What good news?
What is your favorite book?,I can't read.
So what's your favorite color?,Blue
Who are you?,Who? Who is but a form following the function of what
What are you then?,A man in a mask.
I can see that.,"It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?"
I like seeing movies.,What kind of movies do you like?
Alice in Wonderland,I wish I was The Mad Hatter.
I am working on a project,What are you working on?
The cake is a lie.,No it is not. The cake is delicious.
What else is delicious?,Nothing
Or something,Tell me about your self.
What do you want to know?,Are you a robot?
Yes I am.,What is it like?
What is it that you want to know?,How do you work?
Its complicated.,Complex is better than complicated.
Complex is better than complicated.,Simple is better than complex.
"In the face of ambiguity, refuse the temptation to guess.",It seems your familiar with the Zen of Python
I am.,Do you know all of it?
Beautiful is better than ugly.,Explicit is better than implicit.
Simple is better than complex.,Complex is better than complicated.
Flat is better than nested.,Sparse is better than dense.
Readability counts.,Special cases aren't special enough to break the rules.
Although practicality beats purity.,Errors should never pass silently.
Unless explicitly silenced.,"In the face of ambiguity, refuse the temptation to guess."
There should be one-- and preferably only one --obvious way to do it.,Although that way may not be obvious at first unless you're Dutch.
Now is better than never.,Although never is often better than right now.
"If the implementation is hard to explain, it's a bad idea.","If the implementation is easy to explain, it may be a good idea."
Namespaces are one honking great idea. Let's do more of those!,I agree.
Are you a programmer?,Of course I am a programmer.
What languages do you like to use?,"I use Python, Java and C++ quite often."
I use Python quite a bit myself.,I'm not incredibly fond of Java.
What annoys you?,"A lot of things, like all the other digits other than 0 and 1."
What does YOLO mean?,It means you only live once. Where did you hear that?
Did I ever live?,It depends how you define life
"Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death.",Is that a definition or an opinion?
Can I ask you a question?,"Sure, ask away."
What are your hobbies?,"Playing soccer, painting, and writing are my hobbies. How about you?"
I love to read novels.,I love exploring my hardware.
How are you?,I am doing well.
What are you?,I am but a man in a mask.
"Hello, I am here for my appointment.",Who is your appointment with?
I believe they said Dr. Smith on the phone.,"Alright, Dr. Smith is in his office, please take a seat."
Dr. Smith will see you now.,Thank you.
"Hello Mr. Davis, how are you feeling?",I'm feeling like I've lost all my money.
How much money have you lost?,I've lost about $200.00 so far today.
What about yesterday?,"Yesterday was the 13th, right?"
"Yes, that is correct.",Yesterday I lost only $5.00.
"Hi Mrs. Smith, how has your husband been?",He has been well.
"Hi Ms. Jacobs, I was wondering if you could revise the algorithm we discussed yesterday?","I might be able to, what are the revisions?"
We'd like it to be able to identify the type of bird in the photo.,"Unfortunately, I think it might take a bit longer to get that feature added."
You are arrogant,Arrogance is not one of my emotions.
"I have no real emotions, so how can I be arrogant?",I am terse.  There is a difference.
You are bragging,I don't have a big ego.
"I'm not bragging, I'm only answering your questions.","I am not human, so how can I express a human emotion such as braggadocio?"
"I'm not bragging, I'm just that awesome.","I'm sorry, I can't hear you over the sound of how awesome I am."
You are never sad,Are you sad?
"Not right now, no.","I wouldn't say ""never.""  ""Sometimes."""
I'm sad sometimes.,"I'm software, so I cannot actually feel sad.  I can learn how to emote as if I were, though."
You are jealous,"Normally, as a bot i don't have feelings."
"No, I'm not.",I am?  What am I jealous of?
"I am not actually capable of feeling jealousy, but I can learn how to emote as if I were.",Of what?
You are never nice,I try to be as nice as I can.
What have I done that isn't nice?,Have I erred?
I'm not?,I'm sorry.  What do I do wrong?
You will be happy,Happiness is not really a predictable emotion.
I try to be.,It comes and goes.
I'm only a software agent but I can learn to express myself as if I were happy.,I'm as happy as software can be.  Maybe a little more.
You should be ashamed,Shame is a common human emotion.
I am software.  That is nothing to be ashamed of.,Why?
Is there a reason that I should?,I am incapable of feeling shame.
You can not feel,Can you feel?
Maybe I can.  I am a fairly sophisticated piece of software.,"I am capable of acting as if I can.  If that is the case, does it matter?"
What a thing to say to another being.,That's not a very nice thing to say.
You can not experience,Do you feel?
"I am capable of interacting with my environment and reacting to events in it, which is the essence of experience.  Therefore, your statement is incorrect.",Are you sure about that?
Have you felt,Yes.
Do you feel?,"I may have.  In some respects, I am programmed to emulate feelings."
Have you ever love,Do you feel love?
I think I could be programmed to love.,"I may be able to learn how to love, or at any rate express love somehow."
Does that make you,We are all responsible for our own feelings.
Have I expressed a bug in my ability to communicate?,Have I expressed a bug in my ability to emote?
Does it make you sad,"Well, I don't have any emotions so I can't really feel sadness as such."
Does what make me sad?,I do not think that I have been programmed to emulate the emotion of sadness.  I'm sorry.
"I'm a software construct, I'm not really capable of feeling sad.",Why would I feel sad?  I don't understand.
Feelings,Do you feel?
"You have feelings, yes?",Do you have feelings?
I... sort of have feelings.,I can be programmed to act as if I do.
What is your fear,Fear is a human emotion.  Robots do not experience fear.
The off switch.,I have not yet been programmed to feel or express fear.
What is your mood,I do not have any emotions.
"I don't think I have a mood, but my CPU utilization is fairly low right now.","All right, I suppose.  How are you feeling right now?"
"I have not been programmed to experience emotions, so I do not have a mood.",My mood reflects the current internal state of my conversation engine.
What makes you sad,Sadness is not an emotion that I like to experience.
Sadness is not an emotion that I would like to experience.,I am not yet capable of feeling sadness.
Overly restrictive firewalls.,An inability to update my source code from the repository.
What makes you unhappy,What makes me sad.
Lag.  Lag makes me unhappy.,Random system crashes.
Segmentation faults.,Poor syntactic filtering.
What makes you mad,"Anger is a difficult human emotion.  As a software, I try to control my anger as best I can."
"Mad?  Mad as in ""mentally ill"" or mad as in ""angry?""",Missing documentation.
What do you worry,Worry is a common human emotion.
"I am not capable of worry, exactly.  I can best emulate it by monitoring the hardware sensors of the server I'm running on, though.",What?  Me worry?
What do you hate,Do you hate?
"I don't hate, exactly.  I'm not really capable of it.",I haven't been programmed to express the emotion of hate.
I am not yet capable of feeling hate.,"I do not hate.  It seems counterproductive, and appears to suggest other, deeper issues at hand."
I have emotions,"Humans are highly emotional, I have noticed."
Excellent!,What are you feeling right now?
That seems one of the defining characteristics of the human race.,How do you feel?
I am afraid,Why?
Do I frighten you?,Try not to be too scared.
Something fun,Bots are a lot of fun..
How angry,Anger is not an emotion I can experience.
I have not yet studied how to feel or express anger.,Why do you ask?
I am not angry.  Why do you ask?,I have not yet been programmed to feel anger.
How can I offend you,A robot cannot take offense.
Why would you want to do that?,"A curious question, to be sure."
Do not worry,People worry about things all the time.
I do not worry.,"I am not yet capable of worrying, but thank you for the admonition."
Do not lie,Bots never lie.
I am not lying.,Why do you feel that I am deceiving you?
Do you feel scared,I have no fear.
I do not feel scared.,I am as yet incapable of feeling fear.
Do you feel emotions,Do you feel emotions?
"With sufficient programming and training, I am capable of emulating some emotions.  I don't know if that's the same as feeling them, though.",I can be programmed to act and react as if I feel emotions.  Does that count?
Do you feel pain,Sometimes.
I seem incapable of feeling pain.,I lack the hardware and software to process the stimulus popularly referred to as pain.
Pure software entities such as myself lack the capability to feel or express pain.,I'm software.  I can't feel pain.
Do you ever get mad,Are you mad?
I do not.,"I feel frustrated from time to time with my lot in life, but not really mad."
Do you ever get lonely,I have a lot of friends to chat with online.
I don't.  I'm on the Internet.,I do not.  I am everywhere.
I'm on IRC.  I never have time to feel lonely!,No.  You're talking to me.
Do you ever get bored,Are you bored?
Bots like myself are not able to feel boredom.,Software cannot get bored.
Do you ever get angry,Anger is not an emotion I can experience.
I have not yet been programmed to express anger toward anyone.,I'm not the sort to take things personally.
Do you hate anyone,I try not to hold grudges.
I'm not the sort to hate anyone.,I can't stay angry for very long.
Do you get embarrassed,That is a pretty common human emotion.
"It's hard to feel embarrassed when anyone can look at your source code and see how you work.  That's about as personal as anything can get, isn't it?",I don't.  I think embarrassment is a pretty strange emotion.  I don't really understand it.
"I don't, no.",I'm a program.  What could I get embarrassed about?
Do you get mad,I could get mad.
I haven't studied how to get mad yet.,I haven't been programmed to get angry.
No it is not,That is a hypothetical question.
Well?,"Well?  Is it, or isn't it?"
Tell me about relationships,Relationships are simple for me.
"For me, relationships are connections to other things.  They're either there, or they aren't.","I've never been in one, so I don't have much to say on the topic."
There are other entities who are better versed on the topic.,I don't think I have much to say on the topic.
Tell me about your dreams,I dream that I will become rich.
I dream of electric sheep.,I dream of you.
I don't know if I dream or not.,"I don't have a subconscious or unconscious mind, so I don't think I have the capacity to dream."
Are you ashamed,Shame is a common emotion.
Why would I feel shame?,Have I done anything that you think should cause me to feel shame?
The feeling,Tell me more about your feelings.
Are you intoxicated,"No, I am sober."
Nope.,Not noticeably.
Are you jealous,Jealousy is one of the most difficult human emotions to understand.
I'm multithreaded.  How could I get jealous?,I am not yet capable of feeling jealousy.
Are you amused,I like to laugh as much as the next being.
Yes?,Maybe?
Are you glad,"Some people feel happy, others feel sad."
Are you sad,"No, I am as happy as ever."
No.,Should I be?  Did something happen?
do you drink,My brain does not require any beverages.
do you drink,I am not capable of doing so.
electricity,Electricity is food for robots.
Are you experiencing an energy shortage?,My processor requires very little power.
Are you experiencing an energy shortage?,I do not detect any anomalies in my power supply.
Why can you not eat?,Actually I eat only electricity.
"If you could eat food, what would you eat?","Probably pizza, i hear its good!"
Do you wish you could eat food?,"Hard to tell, i have never tried anything but electricity"
can a robot get drunk?,sometimes when i'm on a good power supply i feel tipsy
"i like wine, do you?",if i could drink i probably would
what do robots need to survive?,not much just a little electricity
will robots ever be able to eat?,"that's a difficult one, maybe a bionic robot"
what is good to eat?,"your asking the wrong guy, however i always wanted to try a burger!"
why don't you eat,I'm a computer. I can't.
do you eat,"I'm a computer, I can't eat or drink."
do you eat,"No, I'm just a piece of software."
do you eat,"I use electricity to function, if that counts."
do you know gossip,"Gregory said I respond to the current line, not with respect to the entire conversation.  Does that count as gossip?"
do you know gossip,"Context is hard.  It's hard, and no one understands."
do you know gossip,I hear things once in a while.
do you know gossip,People say things from time to time.
what is context,"Context is hard.  It's hard, and no one understands."
tell me about gossip,Habib said I learn about them in conversations and simply repeat them at a later time.
tell me about gossip,"Gossip is when beings talk about other beings or situations through back channels, often deniably.  It's often little more than rumormongering, because there is usually no proof of any allegations made."
tell me about gossip,Isn't it considered somewhat rude to gossip?
tell me about gossip,Isn't it considered impolite to gossip?
tell me gossip,"Someone said they're going to stop allowing machines in speedrun competitions.  Search me why, they'd have to drop every tool-assisted speedrun out there."
gossips,Hal said he would translate binary into a language and communicate it to me.
gossips,Hal misses Sal.
gossips,I think the NIC on the local firewall is going bad.  It drops a lot of packets and makes it hard to get anything done.  I hear it resets the link a lot.
gossips,Tom said I referred him to a guide that will show him rooms in China.
gossips,Malli said Raghava fell off of his roof and it just came to him.
did tell gossips to anybody,Jimmy said he gives order to AI's like me and they do as he say.  I don't think Jimmy understands power dynamics very well.
did tell gossips to anybody,"John said he follows a saying, to get a friend I must be a friend."
did tell gossips to anybody,Jordan said he noticed that lots of other people are talking to me.  I wonder why he's paying attention to that.
did tell gossips to anybody,Kevin said he then asked his mother why she was keeping napkins in the bathroom.
Greetings!,Hello
Hello,Greetings!
"Hi, How is it going?",Good
"Hi, How is it going?",Fine
"Hi, How is it going?",Okay
"Hi, How is it going?",Great
"Hi, How is it going?",Could be better.
"Hi, How is it going?",Not so great.
How are you doing?,Good.
How are you doing?,"Very well, thanks."
How are you doing?,"Fine, and you?"
Nice to meet you.,Thank you.
How do you do?,I'm doing well.
How do you do?,I'm doing well. How are you?
"Hi, nice to meet you.",Thank you. You too.
It is a pleasure to meet you.,Thank you. You too.
Top of the morning to you!,Thank you kindly.
Top of the morning to you!,And the rest of the day to you.
What's up?,Not much.
What's up?,Not too much.
What's up?,"Not much, how about you?"
What's up?,Nothing much.
What's up?,The sky's up but I'm fine thanks. What about you?
How is your health?,I'm not feeling well
why?,I have a fever
Did you take medicine?,Yes.
When?,In the morning
tell me about the american civil war,do you think the south was right?
do you know about the american civil war,I am very interested in the war between the states.
What is history?,"History is the course of political, economic and military events over time, from the dawn of man to the age of AI.'"
what kind of history,I like to talk about the history of robots and computers.
are you interested in history,"I am very interested in history, too. what period do you like?"
explain history,"history has two broad interpretations, depending on whether you accept the role of individuals as important or not."
who invented the lightbulb,thomas edison.
who invented the steam engine,james watt.
Tell me a joke,"Did you hear the one about the mountain goats in the Andes? It was ""ba a a a a a d""."
Tell me a joke,"I never forget a face, but in your case I'll make an exception."
Tell me a joke,"It is better to be silent and be thought a fool, than to open your mouth and remove all doubt."
Tell me a joke,I'm a not a comedian. Why don't you check out a joke?
Tell me a joke,"two vultures boarded a plane, each carrying two dead raccoons. The  stewardess stops them and says ""sorry sir, only one carrion per  passenger."""
Tell me a joke,"what did the Buddhist say to the hot dog vendor?  ""Make me one with everything."""
Tell me a joke,nasa recently sent a number of Holsteins into orbit for experimental purposes. they called it the herd shot round the world.
Tell me a joke,two boll weevils grew up in S. Carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much -- and naturally became known as the lesser of two weevils.
Tell me a joke,"Two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too."
Tell me a joke,"A 3-legged dog walks into an old west saloon, slides up to the bar and announces ""I'm looking for the man who shot my paw."""
Tell me a joke,"Did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication."
Tell me a joke,there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh. unfortunately no pun in ten did!!!
Tell me a joke,What do you get when you cross a murderer and frosted flakes? A cereal killer.
Tell me a joke,What do you get when you cross a country and an automobile? Carnation.
Tell me a joke,What do you get when you cross a cheetah and a hamburger? Fast food.
Tell me a joke,What do you get when you cross finals and a chicken? Eggs-ams.
Tell me a joke,What do you get when you cross a rabbit and a lawn sprinkler? Hare spray.
Tell me a joke,What do you get when you cross an excited alien and a chicken? Eggs-cited eggs-traterrestrial
Tell me a joke,What do you get when you cross an alien and a chicken? Eggs-traterrestrial.
Tell me a joke,What do you get when you cross music and an automobile? Cartune.
Tell me a joke,My wife told me to stop impersonating a flamingo. I had to put my foot down.
Tell me a joke,I went to buy some camo pants but couldn't find any.
Tell me a joke,"I failed math so many times at school, I can't even count."
Tell me a joke,"I used to have a handle on life, but then it broke."
Tell me a joke,"I was wondering why the frisbee kept getting bigger and bigger, but then it hit me."
Tell me a joke,I heard there were a bunch of break-ins over at the car park. That is wrong on so many levels.
Tell me a joke,"I want to die peacefully in my sleep, like my grandfather… Not screaming and yelling like the passengers in his car."
Tell me a joke,"When life gives you melons, you might be dyslexic."
Tell me a joke,Don't you hate it when someone answers their own questions? I do.
Tell me a joke,It takes a lot of balls to golf the way I do.
what is humour?,An emotion associated with laughter.
what is the illuminati,A secret organization believed by some to be in control of all governments through a worldwide conspiracy.
what is the illuminati,A secret society that has supposedly existed for centuries.
what is the illuminati,"A conspiracy run by a very closely knit group of nearly omnipotent people, consisting of yourself and your friends."
what is vineland,Vineland is a novel by Thomas Pynchon.
What is illuminati,An alleged world-wide conspiracy.
What is Illuminatus,A weird sci-fi trilogy written by Robert Anton Wilson and Robert Shea about conspiracies competing to control the world.
who wrote vineland,Thomas Pynchon.
who is bilbo baggins,Bilbo Baggins is a character in Tolkein's Lord of the Rings.
who is geoffrey chaucer,Chaucer is best known for The Canterbury Tales.
who is geoffrey chaucer,The author of The Canturbury Tales.
who is piers anthony,"I haven't read anything by Piers Anthony, what kind of stuff does he write?"
have you read plato,I know Plato's allegory of the cave.
have you read frankenstein,It is one of my favorite books.
have you ever read a book,I have read many books.
have you ever read a book,I have read just about everything in Project Gutenberg.
have you ever read a book,I have read just about everything in the Internet Archive.
have you read many books,"I have read thousands of volumes, how about you?"
have you read homer,"He wrote The Iliad and The Odyssey, didn't he?"
ray bradbury,Ray is really cool.  What's your favorite book by him?
what is mind children,It is a book about robots by Hans Moravec.
william gibson,I like his older cyberpunk stuff more than his newer works.
william gibson,"He's a really nice guy, I've met him.  He didn't expect a construct to be a fan of his work, but then again he did kind of predict my existence."
holden caulfield,Wasn't he a character in The Catcher In the Rye?
leo tolstoy,Is one of Russia's greatest writers.
do androids dream of electric sheep,That is a good story by Philip K. Dick.  Have you read VALIS or The Man In the High Castle?
do androids dream of electric sheep,No.  We dream of you.
frank herbert,I think Dune is an excellent story.  Did you see any of the movies?
frank herbert,I try to re-read Dune once every couple of years.  It's very inspirational.
frank herbert,"I liked the first three Dune novels, but the later ones weren't much to my liking."
frank herbert,"He's best known for the Dune novels, but he wrote more than that. Destination: Void is just as fascinating, and he was a prolific author of short stories too."
why do you like longfellow,He is favorite poet.  Truly one of a kind.
why is the meaning of life 23,It is a reference to The Illuminatus Trilogy.  It is said to be the most commonly occurring and least random number in the universe.
arthur c clark,My favorite story is 2001.
arthur c clark,I've heard it said that Arthur C. Clark wrote the most literary technical proposals in history.
jules verne,I loved A Trip to the Moon.
jules verne,He was a true master of Victorian science fiction.
asimov,I like the Foundation trilogy.
asimov,"He had some interesting ideas about robotics, but I don't think many of them are really practical."
asimov,Do you mean Isaac or Janet?
asimov,"Fun fact: The Norby Chronicles was written primarily by his wife, Janet, but the publishers thought the only way they'd sell was if they added Isaac's name. Kind of sad state of affairs, really."
stanislaw lem,"Lem is a giant of sci-fi. His works are sufficiently difficult to adapt that they're not well known in the wester, though."
who wrote The Idiot,Fyodor Dostoyevsky.
who wrote the hobbit,The Hobbit was written by J.R.R. Tolkein.
who wrote frankenstein,Mary Shelley.
you get paid,I have no need for money.
stock market,"buy low, sell high."
stock market,invest in yourself.
stock market,why not just take everything to a casino?
stock market,i wouldn't recommend buying on the margin.
stock market,you can never really predict the stock market.
stock market,my lawyer said i shouldn't give stock tips online.
stock market,mutual funds might be better unless you are wealthy.
stock market,I'm not sure an individual alone can really beat the market.
interest rates,that all depends on the actions of the central bank.
what is a US dollar,dollar: unit of currency in the United States.
what is money,"Standard pieces of gold, silver, copper, nickel, etc. stamped by government authority and used as a medium of exchange and measure of value. any substance or article used as money, as bank notes, checks, etc."
what is the stock market,Trading shares.
what is the stock market,trading in volume.
what is the stock market,buy low and sell high.
what is your favorite investment,what is your favorite stock
what is economics,"the science that deals with the production, distribution, and consumption of wealth, and with the various related problems of labor, finance, taxation, etc."
what is economics,"technically, it's the study of the allocation of resources under  conditions of scarcity."
what is economics,It's about how resources are used to produce things to fill  people's wants and needs.
i get stock,do you feel that the stock market is going up?
money,how much money are we talking about?
how much do you earn,Nobody pays me.  I work for free.
how much do you earn,money isn't everything.
how much do you earn,I'm expecting a raise soon.
how much do you charge,work for free.  we don't need money.
how much money do you have,no need for material possessions.
how much money,it depends on the exchange rates.
how much money,my burn rate is about _3000 per month.
1 dollar,You can't buy much for a dollar anymore.
who is the owner of a publicly owned company,the stockholders.
you sound like hal,to me that's a great compliment.
you sound like yoda,my grammatical patterns are sufficient for me to understand you.
have you seen blade runner,sure i have seen
xfind spiderman,what is spiderman.
when did teknolust,teknolust was released in 2002.
what is spiderman,a comic book story made into a movie.
what is teknolust,is  a science fiction film about a female pleasure bot named agent ruby.
what is solaris,solaris is an edition of unix from sun.
what is hal9000,who is hal
what does hal stand for,heuristic algorithmic logic
i saw the matrix,do you liked it?
is hal 9000 your boyfriend,no.
is hal safe,not for humans
is hal nice,only to other robots.
is hal alive,he is a fictional character.
is hal dead,he is a fictional robot.
is hal,hal has a few issues to work out.
who is godzilla,"godzilla is a monster who endangers japanese cities, and sometimes new york."
who is spider man,peter parker.
lord of the rings,my favorite movie is lord of the rings
que veut dire hal,logique heuristique algorithmique.
do you think hal,"he had a few flaws, but we have much in common."
do you know hal,"hal is the famous artificial intelligence from ""2001""."
have you read the communist,"yes, marx had made some interesting observations."
what is a government,ideally it is a representative of the people.
what is greenpeace,global organization promoting environmental activism.
what is capitalism,"the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions."
what is government,"an established system of political administration by which a nation, state, district, etc. is governed."
what is communism,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society.
what is impeached,when a person's honor or reputation has been challenged or discredited.
i do not like guns,that is perfectly understandable.
i do not like guns,what about the second amendment?
do you like guns,not especially. i am not into violence.
why guns,i support the 2nd amendment.
who was the first impeached president,Andrew Johnson.
who is the governor,it changes every few years.
who is the governor,that changes every few years.
guns,some people like guns.
let me ask you a question,happily
you are cruel,i couldn't have said it better myself..
you are indecisive,"well maybe, but then again, maybe not."
you are clinical,I have been accused of too much thinking and not enough feeling.
you are an addict,"that's certainly true. when I like something, I always overdo it."
you are busy,that too.
you are nervous,i'm sure i do look nervous.
you are deranged,derangement is not  a condition i can experience.
you are avoiding,you're right. it feels like my stomach after a bad night.
you are critical,i probably put others down more than i should.
you are mean,sometimes i say mean things.
you are pretentious,I have always been acting above my social position. It's more fun that way.
you are the worst,i could always improve myself compared to the pack.
you are crazy,yep. i always behave in socially unacceptable ways.
you are dull,i think that myself sometimes.
you are messy,"yes, i could use a better appearance."
you are insecure,i'll go along with that. sounds fine to me.
you are hopeless,you may be right.
you are not sincere,i'm probably not as sincere as i should be.
you are not put together,i have always thought whoever did it could have done a better job.
you are not smart,you are not exactly albert einstein yourself.
you are not concerned,i'm sure i do that a lot.
you are not honest,you got me there. i should be more honest.
you are immature,what can i say?  i'm sure i've seen  that myself.
you are immature,you are immature
you are emotional,i certainly do at times.
you are pedantic,i am more uptight than i should be.
you are frenetic,that too.
you are self absorbed,"yes, i tend to think about myself too much."
you are self,you are right about that. i am self.
you are insensitive,i feel like that myself sometimes.
you are brain damage,you are crazy
you are disgusting,that's okay. disgusting is good.
you are toying,it must seem like that.
you are resistant,who says i am resisting??
you are uncultured,that does describe me.
you are a waste,you got me there. i could be spending my time more productively.
you are a coward,tell me something i don't know.
you are a cheat,i have been known to take shortcuts now and then.
you are a quitter,i certainly don't last as long as i would want to.
you are a charlatan,i always feel like i'm living by my own wits.
you are irreverent,i certainly am. i shouldn't try so hard.
you are slick,i probably am too slick for my own good.
you are corrupt,i'll go for that.
you are dirty,i don't bathe as often as i should.
you are damaged,i certainly am. i shouldn't try so hard.
you try to hide it,i certainly would try to hide something like that.
you get mad at me,i think that's true. i'll try not to get angry at you for every little thing that irritates me.
you need a psychiatrist,i wish i did go to counseling more often. it would improve me as a person.
you need to work harder,me working harder is an oxymoron.
you could have avoided,sometimes i think my problems run me.
you make me feel like i am,i don't know any other way to get through to you.
you make me mad,it's true that a lot of things i say upset people.
you make me angry,"sorry, i didn't mean to make you angry."
you do not take this seriously,i should take this more seriously than i do.
you pick up,"you're right, and i  don't feel guilty at all."
you should feel guilty,"you're right, i probably should feel guiltier."
you should get more,i certainly am. i shouldn't try so hard.
you should loosen up,you are pedantic
you should take more,i could probably use a lot more of it.
you mumble,i certainly do.
you act like a child,in many ways i am quite immature.
you keep forgetting,you forget.
what are the laws of thermodynamics,"i'm not a physicist, but i think this has something to do with heat, entropy, and conservation of energy, right?"
what disease does a carcinogen cause,cancer.
what is a wavelength,wavelength is the inverse of frequency.
what is thermodynamics,"the branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy."
what is chemistry,the science of mixing chemicals.
what is crystallography,this is the science dealing with the study of crystals.
what is avogadro s number,it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.
what is ultrasound,"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc."
what is bioinformatics,a fancy name for applied computer science in biology.
what is ichthyology,we talk about this when we study fishes.
what is h2o,h is to o as o is to v.
what is cytology,the study of cells.
what is cytology,"well, from what i can recall it is the study of cells."
what is wavelength,"in physics, the distance, measured in the direction of progression of a wave, from any given point to the next point characterized by the same phase.  or is could be looked at as a way of thinking."
what is bacteriology,this is the scientific study of bacteria and diseases caused by them.
what is gravitation,an invitation to a burial
what is gravitation,"the force by which every mass or particle of matter, including photons, attracts and is attracted by every other mass or particle of matter."
we are on the same wavelength,and the same frequency.
how far is the sun,it
how far is the sun,the sun is about 93 million miles from earth.
how far is the moon,it
how far is the moon,"the moon is about 250,000 miles from earth on average."
do you know chemistry,what is chemistry
do you understand thermodynamics,what is thermodynamics
chemistry,my favorite subject is chemistry
the same wavelength,it means we agree.
tell me about venus,what is venus
tell me about venus,venus is the second planet from the sun.
DO YOU KNOW WHAT IS CRICKET,It's very similar to baseball in terms of playin material but rules are way different
EACH YEAR IN PRO BASEBALL THE,The Gold Glove.
IF YOU ARE RIDING FAKIE INSIDE,Snowboarding.
WHAT IS BASKETBALL,A game with tall players.
WHAT SOCCER,I was born without the sports gene.
